dataset	task	method	n_images	pi_nme_5seed_mean_pct	pi_nme_seed_sample_sd_pct	display_mean_sd_pct
UCL	BPD	Proposed-DINOv2	49	5.92075938	0.66320810	5.92 ± 0.66
UCL	BPD	Proposed-DINOv3	49	5.14366037	0.61474954	5.14 ± 0.61
UCL	BPD	HRNet-W18	49	5.51418072	0.46408450	5.51 ± 0.46
UCL	BPD	RTMPose-s	49	11.30739686	0.86467335	11.31 ± 0.86
UCL	OFD	Proposed-DINOv2	49	3.94067680	0.54642610	3.94 ± 0.55
UCL	OFD	Proposed-DINOv3	49	3.75421349	0.09484334	3.75 ± 0.09
UCL	OFD	HRNet-W18	49	4.58982902	0.49185975	4.59 ± 0.49
UCL	OFD	RTMPose-s	49	9.11653055	1.59935152	9.12 ± 1.60
UCL	APAD	Proposed-DINOv2	36	6.50419114	1.15402463	6.50 ± 1.15
UCL	APAD	Proposed-DINOv3	36	5.34080166	0.65734218	5.34 ± 0.66
UCL	APAD	HRNet-W18	36	7.33316576	1.29885927	7.33 ± 1.30
UCL	APAD	RTMPose-s	36	16.56407004	0.91033138	16.56 ± 0.91
UCL	TAD	Proposed-DINOv2	36	9.31977929	1.32556205	9.32 ± 1.33
UCL	TAD	Proposed-DINOv3	36	6.46795224	0.86085078	6.47 ± 0.86
UCL	TAD	HRNet-W18	36	6.74079005	0.97664756	6.74 ± 0.98
UCL	TAD	RTMPose-s	36	18.98183788	1.75887201	18.98 ± 1.76
UCL	FL	Proposed-DINOv2	39	1.60534988	0.11106382	1.61 ± 0.11
UCL	FL	Proposed-DINOv3	39	1.53340999	0.15072284	1.53 ± 0.15
UCL	FL	HRNet-W18	39	1.99111853	0.40786144	1.99 ± 0.41
UCL	FL	RTMPose-s	39	17.82665098	1.52511501	17.83 ± 1.53
MULTICENTRE	BPD	Proposed-DINOv2	1180	6.89666535	0.17181820	6.90 ± 0.17
MULTICENTRE	BPD	Proposed-DINOv3	1180	6.08503932	0.18914897	6.09 ± 0.19
MULTICENTRE	BPD	HRNet-W18	1180	4.68306829	0.16539628	4.68 ± 0.17
MULTICENTRE	BPD	RTMPose-s	1180	6.14610878	0.15451199	6.15 ± 0.15
MULTICENTRE	OFD	Proposed-DINOv2	1189	6.12748577	0.44733112	6.13 ± 0.45
MULTICENTRE	OFD	Proposed-DINOv3	1189	5.73385363	0.68009186	5.73 ± 0.68
MULTICENTRE	OFD	HRNet-W18	1189	4.77537622	0.17198218	4.78 ± 0.17
MULTICENTRE	OFD	RTMPose-s	1189	5.66235040	0.09720136	5.66 ± 0.10
MULTICENTRE	APAD	Proposed-DINOv2	161	6.99161505	0.23481873	6.99 ± 0.23
MULTICENTRE	APAD	Proposed-DINOv3	161	7.10973645	0.21455211	7.11 ± 0.21
MULTICENTRE	APAD	HRNet-W18	161	8.88957315	0.18571278	8.89 ± 0.19
MULTICENTRE	APAD	RTMPose-s	161	8.88598200	0.36881493	8.89 ± 0.37
MULTICENTRE	TAD	Proposed-DINOv2	161	8.81876807	0.89755356	8.82 ± 0.90
MULTICENTRE	TAD	Proposed-DINOv3	161	8.71285478	0.54252506	8.71 ± 0.54
MULTICENTRE	TAD	HRNet-W18	161	8.74789777	0.33234352	8.75 ± 0.33
MULTICENTRE	TAD	RTMPose-s	161	9.21723395	0.32034683	9.22 ± 0.32
MULTICENTRE	FL	Proposed-DINOv2	362	2.77843708	0.10867055	2.78 ± 0.11
MULTICENTRE	FL	Proposed-DINOv3	362	2.71291104	0.12998373	2.71 ± 0.13
MULTICENTRE	FL	HRNet-W18	362	2.93329333	0.31754742	2.93 ± 0.32
MULTICENTRE	FL	RTMPose-s	362	4.95254324	0.48987188	4.95 ± 0.49
