dataset	task	method_a	method_b	n_images	mean_difference_a_minus_b_pp	paired_bootstrap_95ci_low_pp	paired_bootstrap_95ci_high_pp	wilcoxon_p_raw	wilcoxon_p_holm_within_cell	wilcoxon_p_holm_global_60
UCL	BPD	Proposed-DINOv2	Proposed-DINOv3	49	0.77709901	-0.34317555	2.20847170	0.0765014279663	0.0765014279663	1
UCL	BPD	Proposed-DINOv2	HRNet-W18	49	0.40657866	-0.97667964	1.67210121	0.00368203208074	0.0110460962422	0.0810047057763
UCL	BPD	Proposed-DINOv2	RTMPose-s	49	-5.38663748	-7.62911451	-3.33568632	2.49070046721e-06	9.96280186884e-06	7.72117144835e-05
UCL	BPD	Proposed-DINOv3	HRNet-W18	49	-0.37052035	-1.76921606	0.75901147	0.0109547022964	0.0219094045928	0.219094045928
UCL	BPD	Proposed-DINOv3	RTMPose-s	49	-6.16373649	-8.50698683	-3.99659497	5.65855984291e-08	3.39513590575e-07	2.26342393716e-06
UCL	BPD	HRNet-W18	RTMPose-s	49	-5.79321614	-8.09158319	-3.67676171	4.8475951786e-07	2.4237975893e-06	1.7451342643e-05
UCL	OFD	Proposed-DINOv2	Proposed-DINOv3	49	0.18646331	-0.06719169	0.49563234	0.00532151604029	0.0159645481209	0.111751836846
UCL	OFD	Proposed-DINOv2	HRNet-W18	49	-0.64915222	-1.78040610	0.16066161	0.0506285847413	0.101257169483	0.860685940602
UCL	OFD	Proposed-DINOv2	RTMPose-s	49	-5.17585376	-7.25296807	-3.37488136	3.23240101352e-10	1.61620050676e-09	1.45458045608e-08
UCL	OFD	Proposed-DINOv3	HRNet-W18	49	-0.83561553	-2.18542823	0.07159080	0.121407219763	0.121407219763	1
UCL	OFD	Proposed-DINOv3	RTMPose-s	49	-5.36231707	-7.50255531	-3.49158021	8.76134720329e-11	5.25680832197e-10	4.03021971351e-09
UCL	OFD	HRNet-W18	RTMPose-s	49	-4.52670154	-6.59933231	-2.65559020	2.06536433467e-06	8.26145733868e-06	6.60916587094e-05
UCL	APAD	Proposed-DINOv2	Proposed-DINOv3	36	1.16338948	0.19554384	2.44150690	0.400604735517	0.645104682132	1
UCL	APAD	Proposed-DINOv2	HRNet-W18	36	-0.82897462	-3.12023436	1.25301513	0.0797356081894	0.239206824568	1
UCL	APAD	Proposed-DINOv2	RTMPose-s	36	-10.05987889	-13.35352977	-7.23369555	1.30094122142e-08	7.80564732852e-08	5.46395312996e-07
UCL	APAD	Proposed-DINOv3	HRNet-W18	36	-1.99236410	-4.80280548	0.50618069	0.322552341066	0.645104682132	1
UCL	APAD	Proposed-DINOv3	RTMPose-s	36	-11.22326838	-14.94370509	-8.15568886	1.55996531248e-08	7.80564732852e-08	6.39585778117e-07
UCL	APAD	HRNet-W18	RTMPose-s	36	-9.23090428	-12.79809533	-5.83201783	1.45816011354e-06	5.83264045416e-06	4.95774438604e-05
UCL	TAD	Proposed-DINOv2	Proposed-DINOv3	36	2.85182705	0.03566497	5.96435371	0.0392947650107	0.049883244501	0.707305770193
UCL	TAD	Proposed-DINOv2	HRNet-W18	36	2.57898923	0.41847019	5.16425101	0.00153790038894	0.00461370116682	0.0353717089456
UCL	TAD	Proposed-DINOv2	RTMPose-s	36	-9.66205859	-14.98700784	-4.93152228	0.000185720564332	0.000742882257328	0.00482873467263
UCL	TAD	Proposed-DINOv3	HRNet-W18	36	-0.27283781	-2.79620162	2.19962933	0.0249416222505	0.049883244501	0.47389082276
UCL	TAD	Proposed-DINOv3	RTMPose-s	36	-12.51388563	-16.51004813	-8.99096221	7.27595761418e-10	4.36557456851e-09	3.20142135024e-08
UCL	TAD	HRNet-W18	RTMPose-s	36	-12.24104782	-17.28110276	-7.91828028	4.29223291576e-07	2.14611645788e-06	1.58812617883e-05
UCL	FL	Proposed-DINOv2	Proposed-DINOv3	39	0.07193989	-0.03302946	0.17357618	0.282231299577	0.282231299577	1
UCL	FL	Proposed-DINOv2	HRNet-W18	39	-0.38576865	-2.10875913	0.55367776	3.67003667634e-06	1.1010110029e-05	0.00011010110029
UCL	FL	Proposed-DINOv2	RTMPose-s	39	-16.22130110	-26.67032580	-8.91121651	3.63797880709e-12	2.18278728425e-11	1.81898940355e-10
UCL	FL	Proposed-DINOv3	HRNet-W18	39	-0.45770854	-2.19679350	0.51064202	0.000147311908222	0.000294623816444	0.00397742152199
UCL	FL	Proposed-DINOv3	RTMPose-s	39	-16.29324099	-26.64797421	-9.06523493	3.63797880709e-12	2.18278728425e-11	1.81898940355e-10
UCL	FL	HRNet-W18	RTMPose-s	39	-15.83553245	-26.33132736	-8.77297113	3.63797880709e-12	2.18278728425e-11	1.81898940355e-10
MULTICENTRE	BPD	Proposed-DINOv2	Proposed-DINOv3	1180	0.81162603	0.56565033	1.05791544	1.09087460863e-32	2.18174921726e-32	5.78163542574e-31
MULTICENTRE	BPD	Proposed-DINOv2	HRNet-W18	1180	2.21359706	1.90167075	2.51815223	9.98829389596e-121	5.99297633758e-120	5.99297633758e-119
MULTICENTRE	BPD	Proposed-DINOv2	RTMPose-s	1180	0.75055657	0.40572491	1.08031836	1.17348945862e-35	3.52046837586e-35	6.45419202241e-34
