anatomy	backbone	n_test	mean_nme_pct	sd_nme_pct
bpd	dinov2	1191	20.3324	1.0757
bpd	dinov3	1191	19.0008	0.9014
ofd	dinov2	1191	7.3364	0.4531
ofd	dinov3	1191	6.9019	0.5208
apad	dinov2	161	9.1732	0.3236
apad	dinov3	161	9.2578	0.2390
tad	dinov2	161	29.2641	1.3313
tad	dinov3	161	27.5291	0.5724
fl	dinov2	362	3.2925	0.1547
fl	dinov3	362	3.1629	0.1760

# Paired difference (DINOv3 - DINOv2), computed from the 5 per-seed means above, final checkpoint, fixed-channel NME:
# anatomy	mean_diff_pp	ci95_low	ci95_high	sign_test_5of5_p
# bpd	-1.33	-3.74	+1.07	0.0625
# ofd	-0.43	-0.96	+0.09	0.0625
# apad	+0.08	-0.59	+0.76	0.625 (3/5 or fewer same direction)
# tad	-1.73	-3.51	+0.04	0.0625
# fl	-0.13	-0.50	+0.24	0.375 (4/5 same direction)
#
# Source: raw per-seed final-checkpoint fixedchannel_per_image.csv files extracted from
# checkpoint_backups/multicentre-{anatomy}-{backbone}.tar (seeds 42/0/123/2024/3407).
# n_test = full evaluated Multicentre test pool (no HRNet-driven common-subset filtering
# applied here, since this is an EoMT-only backbone comparison with no HRNet involved).
# CI = t-interval on the 5 paired per-seed differences, df=4, t_crit(0.025,4)=2.776.
